Kraken Experian Tier,Kraken Experian Tier Class,Kraken Experian Mosaic Household,Kraken Experian First Lead Sub Group,Kraken Experian First Lead Group,Kraken Experian Number of Children,Kraken Experian Consumer View Profitability Score,Kraken Experian Direct Mail Responder,Kraken Experian Dwelling Type,Kraken Experian Estimated Household Income,Kraken Experian Estimated Current Home Value,Kraken Experian Gender Code,Kraken Experian Individual Education,Kraken Experian Length of Residence,Kraken Experian Marital Status,Kraken Experian Occupation Group,Kraken Experian State Region,Kraken Experian Membership Tcv,Kraken Experian Membership Level,Kraken Experian Membership Length Days,Kraken Experian Product Tcv,Kraken Experian Count
1,B,Aging of Aquarius,,Unknown,No Children,1,M - MULTI BUYER,S - Single Family,$250000+,,Male,Grad Degree - Extremely Likely,20 Years,Married - Extremely Likely,Retired-I,KS,"2,327.04",Elite,"2,379",0,1
1,B,Aging of Aquarius,,Unknown,No Children,2,M - MULTI BUYER,P - Post Office Box,$75000-$99999,"$265,250 ",Male,Some College -Extremely Likely,12 Years,Married - Extremely Likely,Retired-I,IL,"2,018.56",Elite,"1,950",0,1
1,B,Stockcars and State Parks,,Unknown,1 = 1 Child,2,U - UNKNOWN,S - Single Family,$100000-$124999,"$197,355 ",Male,Some College - Likely,38 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-I,LA,"1,918.04",Elite,"1,928",0,1
1,B,Golf Carts and Gourmets,,Unknown,No Children,1,M - MULTI BUYER,S - Single Family,$75000-$99999,"$1,125,852 ",Male,Bach Degree - Extremely Likely,16 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,CA,"2,042.92",Elite,"2,533",0,1
1,B,Rooted Flower Power,,Unknown,2 = 2 Chldren,4,M - MULTI BUYER,S - Single Family,$50000-$74999,"$249,174 ",Male,0,21 Years,Unknown Status - Indiv not PDM,UNKNOWN,CA,"1,343.94",Elite,"1,879",0,1
1,B,Silver Sophisticates,,Unknown,No Children,1,M - MULTI BUYER,S - Single Family,$150000-$174999,"$433,171 ",Male,Grad Degree - Extremely Likely,20 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,PA,"1,410.93",Elite,"1,883",0,1
1,B,True Grit Americans,,Unknown,No Children,7,,,$50000-$74999,,Male,Some College - Likely,6 Years,Married - Likely,Office and Admin Support-I,TN,"1,410.93",Elite,"1,922",0,1
1,B,Fast Track Couples,,Unknown,No Children,1,U - UNKNOWN,S - Single Family,$50000-$74999,"$504,713 ",Male,Bach Degree - Likely,2 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,UT,"1,963.53",Elite,"2,524",0,1
1,B,Platinum Prosperity,,Unknown,No Children,3,U - UNKNOWN,S - Single Family,$250000+,"$461,394 ",Male,Grad Degree - Likely,9 Years,Married - Likely,Retired-I,AL,"1,510.04",Elite,"2,002",0,1
1,B,Rooted Flower Power,,Unknown,No Children,7,U - UNKNOWN,S - Single Family,$15000-$24999,,Male,HS Diploma - Likely,New,Single - Likely,Other-I,NY,"2,727.80",Elite,"2,719",0,1
1,B,Unspoiled Splendor,,Unknown,No Children,2,M - MULTI BUYER,S - Single Family,$75000-$99999,"$337,634 ",Male,Bach Degree - Extremely Likely,37 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-I,CA,"1,387.80",Elite,"1,881",0,1
1,B,Silver Sophisticates,,Unknown,No Children,5,,,$75000-$99999,"$394,000 ",Male,Some College - Likely,8 Years,Married - Likely,Other-I,VA,"1,738.49",Elite,"2,197",0,1
1,B,Booming and Consuming,,Unknown,No Children,5,U - UNKNOWN,P - Post Office Box,$125000-$149999,,Male,Grad Degree - Likely,7 Years,Unknown Status - PDM,Other-I,MI,"1,924.97",Elite,"2,293",0,1
1,B,Gotham Blend,,Unknown,No Children,6,M - MULTI BUYER,A - Multi-Family & Condominium,$125000-$149999,,Male,HS Diploma - Likely,10 Years,Married - Likely,Blue Collar-I,NY,"1,830",Elite,"1,930",0,1
1,B,Mid-scale Medley,,Unknown,No Children,6,U - UNKNOWN,S - Single Family,$75000-$99999,"$70,237 ",Male,Some College -Extremely Likely,6 Years,Single - Likely,Blue Collar-I,IA,"1,507.19",Elite,"1,910",0,1
1,B,No place like Home,,Unknown,No Children,6,Y - SINGLE BUYER,P - Post Office Box,$50000-$74999,,Male,HS Diploma - Likely,3 Years,Married - Extremely Likely,Blue Collar-I,TX,"1,933.92",Elite,"1,870",0,1
1,B,Fast Track Couples,,Unknown,No Children,4,M - MULTI BUYER,S - Single Family,$50000-$74999,"$436,670 ",Male,HS Diploma - Likely,4 Years,Married - Likely,Other-I,NV,"1,450.88",Elite,"2,435",0,1
1,B,Silver Sophisticates,,Unknown,No Children,1,M - MULTI BUYER,S - Single Family,$200000-$249999,"$349,089 ",Male,Grad Degree - Likely,26 Years,Unknown Status - Indiv not PDM,Retired-I,NH,"1,156.50",Elite,"2,007",0,1
1,B,Town Elders,,Unknown,No Children,8,U - UNKNOWN,S - Single Family,$15000-$24999,"$89,257 ",Male,HS Diploma - Likely,1 Year,Married - Extremely Likely,Blue Collar-I,TX,"1,387.80",Elite,"1,878",0,1
1,B,Bohemian Groove,,Unknown,No Children,6,,,$50000-$74999,,Male,HS Diploma - Likely,8 Years,Single - Likely,Other-I,LA,"1,969.79",Elite,"2,520",0,1
1,B,Birkenstocks and Beemers,,Unknown,No Children,3,U - UNKNOWN,S - Single Family,$75000-$99999,,Male,Bach Degree - Likely,4 Years,Unknown Status - Indiv not PDM,Blue Collar-I,MA,"1,687.40",Elite,"1,858",0,1
1,B,Family Fun-tastic,,Unknown,4 = 4 Children,2,M - MULTI BUYER,S - Single Family,$100000-$124999,"$171,916 ",Male,Bach Degree - Extremely Likely,23 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,NY,"1,570.32",Elite,"1,944",0,1
1,B,Silver Sophisticates,,Unknown,No Children,1,M - MULTI BUYER,S - Single Family,$75000-$99999,"$255,399 ",Male,Grad Degree - Likely,38 Years,Married - Extremely Likely,Retired-I,NJ,"1,945",Elite,"1,887",0,1
1,B,Silver Sophisticates,,Unknown,No Children,1,M - MULTI BUYER,S - Single Family,$15000-$24999,"$1,496,123 ",Male,Grad Degree - Likely,20 Years,Married - Extremely Likely,Retired-I,CA,"1,783.16",Elite,"2,020",0,1
1,B,Reaping Rewards,,Unknown,No Children,2,Y - SINGLE BUYER,S - Single Family,$15000-$24999,"$276,240 ",Male,Less than HS Diploma - Likely,13 Years,Married - Extremely Likely,Retired-I,AZ,"1,068.12",Elite,"1,855",0,1
1,B,No place like Home,,Unknown,1 = 1 Child,4,M - MULTI BUYER,S - Single Family,$50000-$74999,"$188,820 ",Male,Some College -Extremely Likely,20 Years,Married - Extremely Likely,Other-I,AZ,"1,996.66",Elite,"2,487",0,1
1,B,Platinum Prosperity,,Unknown,No Children,1,U - UNKNOWN,S - Single Family,$250000+,"$1,239,145 ",Male,Bach Degree - Extremely Likely,16 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,TX,"1,049.44",Elite,"2,093",0,1
1,B,Silver Sophisticates,,Unknown,1 = 1 Child,1,U - UNKNOWN,S - Single Family,$175000-$199999,"$452,410 ",Male,Bach Degree - Extremely Likely,14 Years,Married - Likely,Profess:Legal/Educ/Health-K,VA,"1,573.45",Elite,"1,980",0,1
1,B,No place like Home,,Unknown,No Children,3,M - MULTI BUYER,S - Single Family,$75000-$99999,"$849,497 ",Male,Some College -Extremely Likely,26 Years,Unknown Status - Indiv not PDM,Other-I,FL,"1,553.84",Elite,"1,949",0,1
1,B,Platinum Prosperity,,Unknown,No Children,5,Y - SINGLE BUYER,S - Single Family,$200000-$249999,"$147,144 ",Male,Some College - Likely,14 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,PA,"1,520.67",Elite,"1,925",0,1
1,B,Aging of Aquarius,,Unknown,No Children,3,,,$75000-$99999,"$210,000 ",Male,Some College - Likely,10 Years,Married - Likely,Retired-I,TX,"2,663",Elite,"1,951",0,1
1,B,American Royalty,,Unknown,1 = 1 Child,1,M - MULTI BUYER,S - Single Family,$100000-$124999,"$679,640 ",Male,Less than HS Diploma - Likely,21 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-I,TX,"1,982.92",Elite,"2,535",0,1
1,B,Rooted Flower Power,,Unknown,No Children,4,M - MULTI BUYER,S - Single Family,$50000-$74999,"$179,862 ",Female,HS Diploma - Extremely Likely,19 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,NC,403.1,Elite,"1,849",0,1
1,B,No place like Home,,Unknown,1 = 1 Child,4,M - MULTI BUYER,S - Single Family,$50000-$74999,,Male,Some College - Likely,26 Years,Unknown Status - Indiv not PDM,Mgmt/Business/Financial Oper-I,KS,"1,983.20",Elite,"1,874",0,1
1,B,Aging in Place,,Unknown,No Children,3,M - MULTI BUYER,P - Post Office Box,$25000-$34999,"$361,388 ",Male,Less than HS Diploma - Likely,19 Years,Married - Likely,Retired-I,MD,"1,722.17",Elite,"1,951",0,1
1,B,Town Elders, -,Media Buy,No Children,6,U - UNKNOWN,S - Single Family,$50000-$74999,,Male,Less than HS Diploma - Likely,17 Years,Married - Likely,Retired-I,KS,"2,520",Elite,"2,605",0,1
9,H,Reaping Rewards, -,Media Buy,No Children,6,U - UNKNOWN,S - Single Family,$1000-$14999,"$247,237 ",Male,Some College -Extremely Likely,5 Years,Unknown Status - Indiv not PDM,Retired-I,ME,13,Silver,28,0,1
